,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI
38,5.82,5.91,5.86,28,11,36,0.82,1,0,2,0.96,0.91,0.97,2440,933,3104,87.14,84.82,86.22,2440.0,1552.0,7.0,5.666666666666667,5.785714285714286,0.0,6.0,5.0,6.0,0.0,5.5,7.0,0.0,5.0,6.0,5.5,5.0,7.0,7.0,0.0,3,7,0.0,0.0,0.0,1.0,3.0,8.0,0.881,2079.0,43.0,46.0,58.86,54.0,0.0,0.0,5.0
39,5.72,5.42,5.59,29,6,35,0.95,1,0,2,1.0,1.0,1.0,2579,524,3049,88.93,87.33,87.11,2579.0,1525.0,4.0,5.625,5.25,7.5,3.5,5.5,6.0,4.5,5.5,0.0,0.0,4.5,5.0,4.0,6.0,7.0,6.0,6.0,4,8,0.0,0.0,1.0,3.0,3.0,6.0,0.7583,1814.0,45.0,19.0,66.38,15.0,0.0,0.0,6.0
40,5.69,5.69,5.65,31,31,33,1.0,1,1,1,1.0,1.0,0.97,2718,2718,2830,87.68,87.68,85.76,2718.0,2830.0,6.0,5.25,5.0,5.5,3.5,5.0,7.0,5.0,5.0,4.0,0.0,5.0,5.0,5.0,5.5,4.5,6.0,5.0,4,9,0.0,1.0,1.0,6.0,20.0,36.0,0.7457,2536.0,35.0,44.0,54.89,41.0,0.0,0.0,5.0
41,5.65,5.65,5.58,31,31,37,0.69,1,1,1,0.84,0.84,0.81,2351,2351,2714,75.84,75.84,73.35,2351.0,2714.0,7.0,6.0,5.555555555555555,7.0,5.0,5.0,7.0,5.0,5.0,5.0,0.0,5.5,5.5,6.0,6.0,6.0,6.0,5.5,4,9,0.0,0.0,0.0,4.0,6.0,17.0,0.8048,1402.0,16.0,21.0,46.12,24.0,0.0,0.0,5.0
42,5.64,6.15,5.59,28,10,37,0.95,1,1,1,0.86,0.9,0.89,2156,839,2966,77.0,83.9,80.16,2156.0,2966.0,7.0,6.25,6.15,5.5,6.5,6.0,7.0,7.0,6.0,6.5,7.0,5.0,5.0,0.0,0.0,0.0,0.0,7.0,4,10,0.0,0.0,1.0,2.0,6.0,6.0,0.7876,1210.0,19.0,32.0,58.17,30.0,0.0,0.0,4.5
43,5.64,5.47,5.77,22,17,28,0.83,1,0,2,0.95,0.94,0.96,1771,1369,2292,80.5,80.53,81.86,1771.0,1146.0,6.0,5.0,5.2,5.0,5.0,4.5,5.5,5.5,4.5,6.5,4.0,5.0,6.5,6.0,6.0,5.0,6.5,6.5,4,10,0.0,0.0,0.0,3.0,4.0,1.0,0.7536,1092.0,34.0,30.0,48.73,35.0,0.0,0.0,6.5
44,5.44,5.63,5.4,18,4,21,0.89,1,1,1,0.94,1.0,0.95,1461,280,1718,81.17,70.0,81.81,1461.0,1718.0,7.0,5.833333333333333,5.625,0.0,7.0,5.0,5.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,4.5,3,4,0.0,0.0,1.0,2.0,2.0,1.0,0.9356,1390.0,6.0,10.0,65.82,9.0,0.0,0.0,0.0
45,5.38,3.5,5.42,24,1,31,0.92,1,0,1,0.96,1.0,0.87,1909,72,2357,79.54,72.0,76.03,1909.0,2357.0,7.0,4.333333333333333,5.444444444444445,3.5,0.0,5.0,4.5,6.0,6.0,5.5,6.0,7.0,5.5,4.0,4.5,6.0,5.0,6.0,3,9,0.0,0.0,1.0,2.0,2.0,11.0,0.8816,1969.0,19.0,16.0,63.03,4.0,0.0,0.0,4.0
46,5.34,5.25,5.38,16,4,25,0.87,1,0,1,0.88,0.75,0.84,1244,303,1924,77.75,75.75,76.96,1244.0,1924.0,6.0,5.0,5.083333333333333,0.0,4.5,5.5,5.0,6.0,0.0,0.0,4.5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3,6,0.0,0.0,0.0,1.0,3.0,22.0,0.9052,1237.0,13.0,19.0,62.33,9.0,0.0,0.0,7.0
47,5.33,5.23,5.33,23,15,23,0.79,1,0,1,0.87,0.93,0.87,1724,1134,1724,74.96,75.6,74.96,1724.0,1724.0,6.5,5.0,5.55,6.0,4.5,4.5,5.0,5.0,6.0,7.0,6.0,6.0,5.5,4.0,5.0,4.5,4.5,5.0,4,10,0.0,0.0,1.0,0.0,0.0,1.0,0.8172,1063.0,26.0,25.0,58.51,20.0,0.0,0.0,0.0
