,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value
863,1681,Fornés Genar,DL,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0871295657910547,0.08712956579105469
864,1695,Rabiot Adrien,MD,24.0,35.0,5.83,5.17,5.77,26,3,33,1.19,1.04,1.12,8,1,8,0.96,1.0,0.97,2211,270,2814,85.04,90.0,85.27,276.0,352.0,6.0,3.0,13.5,0.0,0.0,0.0,3.0,1.0,11.0,0.8197,1293.0,22.0,26.0,53.82,31.0,0.0,0.0,5.5,5.166666666666667,5.888888888888889,4.0,5.5,6.0,0.0,7.0,7.0,4.5,6.5,5.5,7.0,7.0,4.0,4.0,3.5,6.5,5.5,7.5,6.0,6.5,5.5,8.0,6.5,5.0,5.0,0.0,0.0,0.0,7.0,5.5,5.5,0.0,4.0,0.0,5.5,6.0,6.0,6.0,5.0,3,9,23.92389096099145,-0.07610903900854993
865,1701,Koopmeiners Teun,MD,19.0,25.0,5.54,6.0,5.35,26,2,33,1.09,0.71,1.12,7,1,7,0.96,1.0,0.91,2231,180,2740,85.81,90.0,83.03,319.0,391.0,6.0,2.71,10.0,2.0,0.0,3.0,3.0,5.0,18.0,0.7652,1723.0,17.0,21.0,47.22,37.0,0.0,0.0,8.0,6.0,5.166666666666667,6.5,5.5,0.0,0.0,0.0,0.0,4.5,4.5,3.5,6.5,5.5,6.0,0.0,7.0,6.0,7.0,5.0,4.0,4.5,6.0,4.0,4.5,5.0,5.5,6.0,6.0,5.5,8.0,7.0,5.0,5.5,5.5,3.5,6.0,0.0,4.5,3.5,5.5,2,6,17.37025290844163,-1.6297470915583716
866,1709,Frattesi Davide,MD,26.0,34.0,5.55,5.55,5.43,31,31,38,0.98,0.98,1.05,6,6,6,0.97,0.97,0.97,2472,2472,3016,79.74,79.74,79.37,412.0,503.0,6.0,4.33,9.0,0.0,0.0,0.0,0.0,3.0,21.0,0.7764,1307.0,11.0,29.0,52.46,36.0,0.0,0.0,4.5,5.375,5.4,5.0,6.0,5.0,5.5,4.5,5.5,7.0,5.5,4.0,6.0,6.0,6.0,7.0,4.5,6.0,4.5,3.5,6.0,4.5,4.5,7.0,6.0,6.0,6.5,6.0,7.0,5.5,5.0,7.0,5.5,4.0,5.0,7.0,5.0,2.5,5.0,5.0,0.0,4,10,19.82330251033526,-6.17669748966474
867,1719,Posch Stefan,DC,16.0,21.0,5.5,5.48,5.5,24,22,24,1.22,1.26,1.22,5,5,5,1.0,1.0,1.0,2062,1882,2062,85.92,85.55,85.92,412.0,412.0,6.0,3.2,11.5,0.0,0.0,1.0,2.0,3.0,11.0,0.7511,1813.0,30.0,38.0,53.81,36.0,0.0,0.0,0.0,6.125,5.4,4.5,6.0,6.0,8.0,4.5,4.0,5.0,5.0,5.5,5.5,6.5,6.5,5.5,6.0,3.5,5.0,6.0,3.0,7.0,7.5,6.0,4.0,0.0,0.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,17.11475495025467,1.114754950254671
868,1722,Carlos Augusto,DL,15.0,17.0,5.18,5.19,5.18,28,8,28,1.27,1.0,1.27,5,1,5,1.0,1.0,1.0,2457,695,2457,87.75,86.88,87.75,491.0,491.0,6.5,3.0,8.0,0.0,0.0,0.0,5.0,5.0,11.0,0.8421,1721.0,20.0,28.0,54.03,36.0,0.0,0.0,7.5,5.25,5.1875,4.5,6.0,6.0,4.5,6.5,5.5,5.0,3.5,0.0,0.0,5.0,7.5,4.5,5.0,4.5,6.5,8.0,4.5,7.0,4.0,3.0,4.5,7.5,5.0,5.5,4.5,4.5,3.5,4.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,15.278112250335738,0.27811225033573805
869,1732,Ferguson Lewis,MD,14.0,15.0,5.5,5.54,5.5,25,24,25,0.78,0.76,0.78,4,4,4,0.88,0.92,0.88,1875,1869,1875,75.0,77.88,75.0,469.0,469.0,6.0,3.5,9.5,0.0,0.0,1.0,0.0,0.0,8.0,0.8367,1206.0,15.0,22.0,48.54,40.0,0.0,0.0,5.0,5.375,5.3,5.5,5.5,5.5,5.0,6.0,5.5,5.0,5.5,5.5,4.0,5.0,6.5,5.5,6.5,5.0,5.0,7.0,5.0,5.5,7.0,7.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,15.561258845239937,1.5612588452399372
870,1739,Lovric Sandi,MD,13.0,15.0,5.3,5.25,5.3,30,18,30,0.82,0.91,0.82,4,3,4,0.7,0.78,0.7,1798,1178,1798,59.93,65.44,59.93,450.0,450.0,6.0,3.25,4.0,0.0,0.0,0.0,4.0,1.0,17.0,0.8161,1085.0,18.0,15.0,50.0,27.0,0.0,0.0,0.0,5.25,5.5,6.5,3.5,6.0,5.0,4.5,7.0,5.5,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.5,5.0,4.0,6.0,0.0,5.0,5.0,5.0,4.5,5.0,5.5,7.0,6.0,6.0,5.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,15.08153747566826,2.0815374756682594
871,1744,Vilhena Tonny,MD,12.0,15.0,5.11,5.4,5.03,27,5,36,1.06,0.65,0.94,4,1,4,0.85,0.8,0.81,1903,356,2403,70.48,71.2,66.75,476.0,601.0,6.0,3.0,4.5,0.0,0.0,2.0,1.0,2.0,7.0,0.7904,978.0,14.0,20.0,44.44,29.0,0.0,0.0,4.0,5.5,5.357142857142857,6.0,6.0,4.5,5.5,5.0,0.0,0.0,0.0,5.0,5.5,4.5,7.0,4.0,3.5,6.5,4.0,0.0,4.5,4.5,5.0,5.0,4.5,6.0,3.5,4.5,4.5,6.0,5.5,8.0,5.5,4.0,5.5,5.0,5.0,4.5,4.5,4.5,4.5,4,7,13.814224167301422,1.8142241673014219
872,1750,Smalling Chris,DC,20.0,24.0,5.62,0.0,5.61,29,0,35,0.89,0.0,0.96,3,0,4,0.97,0.0,0.97,2582,0,3122,89.03,0.0,89.2,861.0,781.0,6.5,6.67,14.0,0.0,0.0,0.0,1.0,1.0,3.0,0.8579,1475.0,38.0,13.0,67.55,18.0,0.0,0.0,4.5,6.333333333333333,5.875,0.0,6.5,6.5,6.0,5.0,5.5,6.0,0.0,6.0,5.5,6.0,4.5,6.0,5.5,4.5,6.5,5.5,5.0,4.5,5.0,5.0,6.0,6.5,7.0,5.5,5.0,3.0,5.5,6.0,7.5,6.0,0.0,6.5,4.5,0.0,3.5,6.0,7.0,3,8,20.991845289624724,0.9918452896247238
