,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10
1338,Roger Roger,A,10.0,11.0,4.5,0.0,4.69,20,0,29,0.78,0.0,1.03,1,0,4,0.75,0.0,0.76,1171,0,1772,58.55,0.0,61.1,1171.0,443.0,6.0,10.0,5.5,0.0,0.0,0.0,1.0,1.0,6.0,0.6645,415.0,2.0,6.0,35.66,35.0,0.0,0.0,0.0,4.666666666666667,0.0,6.0,4.5,3.5,5.0,4.0,5.5,3.0,4.5,4.5,4.0,4.0,5.5,5.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,4.5,4.5,5.5,3.5,6.0,6.5,4.0,6.0,0.0,0.0,0.0,2.5,6.0,6.5,4.5,3,9
1339,Marcos André,A,1.0,9.0,4.38,0.0,4.48,16,0,22,0.87,0.0,0.78,1,0,1,0.19,0.0,0.27,427,0,730,26.69,0.0,33.18,427.0,730.0,6.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5683,141.0,0.0,1.0,53.85,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,4.5,4.0,4.5,0.0,0.0,4.0,5.0,4.5,4.5,4.0,0.0,0.0,2.0,6.5,4.5,4.5,4.0,4.5,0.0,5.5,5.0,0.0,0.0,0.0,4.5,4.5,4.5,0.0,0.0,4.5,0,4
1340,Gonçalo Paciência,A,7.0,8.0,4.34,4.33,4.34,16,3,16,0.83,0.29,0.83,1,0,1,0.25,0.0,0.25,407,11,407,25.44,3.67,25.44,407.0,407.0,6.0,7.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5756,202.0,0.0,3.0,42.86,11.0,0.0,0.0,0.0,4.333333333333333,4.5,4.0,4.5,0.0,0.0,0.0,4.0,0.0,0.0,4.5,0.0,4.5,0.0,4.0,5.0,4.5,5.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
1341,Aceves Álvaro,G,7.0,7.0,6.0,0.0,6.0,1,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,12,0,12,12.0,0.0,12.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
1342,Busquets Sergio,MD,20.0,26.0,5.98,0.0,5.94,22,0,32,0.82,0.0,0.82,0,0,1,0.91,0.0,0.94,1652,0,2552,75.09,0.0,79.75,0.0,2552.0,6.0,1000.0,12.5,0.0,0.0,0.0,3.0,3.0,1.0,0.8778,1542.0,18.0,21.0,60.36,24.0,0.0,0.0,5.5,7.0,0.0,7.0,7.0,7.0,5.0,0.0,0.0,5.0,5.5,5.5,7.0,6.0,5.5,5.0,6.5,5.5,6.0,5.0,5.5,6.0,5.5,0.0,7.5,7.0,6.5,0.0,5.0,4.5,5.5,0.0,6.5,6.0,6.5,4.5,6.0,6.5,7.0,0.0,3,7
1343,Masip Jordi,G,10.0,18.0,5.94,0.0,5.94,17,0,17,0.92,0.0,0.92,0,0,0,1.0,0.0,1.0,1518,0,1518,89.29,0.0,89.29,0.0,0.0,0.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,23.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,6.0,5.0,7.0,5.5,6.0,4.0,5.0,6.5,6.0,7.0,5.0,6.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5
1344,Dmitrovic Marko,G,13.0,13.0,5.9,6.5,5.93,5,1,7,0.42,0.0,0.35,0,0,0,0.6,1.0,0.71,368,90,548,73.6,90.0,78.29,0.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,6.25,6.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,5.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2,2
1345,Ledesma Jeremías,G,12.0,23.0,5.76,0.0,5.77,25,0,37,1.42,0.0,1.34,0,0,0,1.0,0.0,1.0,2250,0,3330,90.0,0.0,90.0,0.0,0.0,0.0,1000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,34.0,5.25,6.75,0.0,0.0,7.5,6.0,6.5,4.5,6.0,4.0,6.0,7.5,6.0,6.5,8.0,5.0,6.0,6.0,4.0,6.5,6.5,5.5,7.0,8.0,3.0,3.5,4.0,4.0,6.5,6.0,6.5,4.0,6.0,6.0,6.0,8.0,4.0,6.0,6.0,4.0,2,8
1346,Bravo Claudio,G,7.0,10.0,5.75,0.0,5.58,6,0,13,0.88,0.0,0.79,0,0,0,1.0,0.0,1.0,540,0,1097,90.0,0.0,84.38,0.0,0.0,0.0,1000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,6.0,7.0,0.0,0.0,0.0,7.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,6.0,5.5,5.5,6.0,0.0,1,4
1347,Tchouaméni Aurélien,MD,18.0,23.0,5.75,6.0,5.88,22,5,33,0.8,1.0,0.85,0,0,2,0.73,0.6,0.82,1356,269,2342,61.64,53.8,70.97,0.0,1171.0,8.0,1000.0,4.5,0.0,0.0,0.0,3.0,3.0,5.0,0.9427,1319.0,29.0,25.0,62.43,26.0,0.0,0.0,5.0,6.125,7.5,5.0,6.5,5.5,5.5,0.0,5.0,6.0,0.0,0.0,5.5,5.0,5.0,6.0,5.0,0.0,5.5,5.5,5.0,6.0,4.5,7.0,0.0,6.5,6.5,7.0,5.5,6.0,6.0,8.0,0.0,5.0,6.0,6.5,5.0,5.5,7.0,5.5,4,7
1348,Fernández Aitor,G,15.0,19.0,5.75,0.0,5.75,14,0,14,0.98,0.0,0.98,0,0,0,1.0,0.0,1.0,1260,0,1260,90.0,0.0,90.0,0.0,0.0,0.0,1000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,5.5,4.75,0.0,4.0,0.0,5.5,6.5,0.0,6.5,6.0,6.0,5.5,6.0,7.0,4.0,4.5,6.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7
