,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI
156,5.0,5.0,4.98,12,4,21,0.71,0,0,1,0.83,0.5,0.67,750,144,1113,62.5,36.0,53.0,0.0,1113.0,6.5,5.0,5.0,5.5,5.0,4.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,3.0,5.0,0.8722,446.0,3.0,6.0,41.18,6.0,0.0,0.0,5.0
157,5.0,0.0,4.79,1,0,17,0.0,0,0,4,0.0,0.0,0.53,11,0,817,11.0,0.0,48.06,0.0,204.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,16.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0
158,5.0,5.0,5.0,10,1,10,0.0,0,0,0,0.0,0.0,0.0,112,1,112,11.2,1.0,11.2,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.917,107.0,1.0,1.0,60.0,1.0,0.0,0.0,5.0
159,5.0,0.0,4.75,1,0,2,0.0,0,0,0,0.0,0.0,0.0,32,0,45,32.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8462,18.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
160,5.0,0.0,5.0,1,0,1,0.0,0,0,0,0.0,0.0,0.0,22,0,22,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,5.0,0.0,5.0,1,0,1,0.0,0,0,0,0.0,0.0,0.0,11,0,11,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,5.0,5.0,5.0,5,1,5,0.35,0,0,0,0.4,0.0,0.4,216,33,216,43.2,33.0,43.2,0.0,0.0,0.0,4.75,5.0,5.0,0.0,0.0,4.5,0.0,5.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,0.0,0.0,0.0,0.0,0.0,2.0,0.9049,152.0,1.0,4.0,56.76,1.0,0.0,0.0,0.0
163,4.96,0.0,4.89,12,0,14,0.4,0,0,0,0.5,0.0,0.43,574,0,597,47.83,0.0,42.64,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,6.0,0.7445,333.0,11.0,9.0,52.17,6.0,0.0,0.0,5.0
164,4.93,4.8,5.0,20,5,29,0.73,0,0,0,0.85,0.8,0.79,1321,285,1933,66.05,57.0,66.66,0.0,0.0,0.0,4.75,4.916666666666667,4.0,4.5,5.0,5.5,5.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,4,6,0.0,0.0,0.0,0.0,2.0,11.0,0.8692,993.0,12.0,13.0,54.55,9.0,0.0,0.0,5.5
165,4.93,4.75,5.15,7,2,27,0.61,0,0,4,0.71,0.0,0.67,429,49,1615,61.29,24.5,59.81,0.0,404.0,6.5,4.75,5.083333333333333,4.5,5.0,0.0,0.0,5.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,0.0,0.0,0.0,0.0,0.0,4.0,0.722,282.0,2.0,11.0,50.63,4.0,0.0,0.0,0.0
