,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10
479,1191,Samuel Lino,MO,12.0,13.0,5.38,5.38,5.38,30,30,30,0.86,0.86,0.86,3,3,3,0.9,0.9,0.9,2350,2350,2350,78.33,78.33,78.33,783.0,783.0,7.0,4.0,8.0,0.0,0.0,1.0,1.0,1.0,22.0,0.8136,1411.0,13.0,33.0,47.35,30.0,0.0,0.0,4.5,5.875,5.45,7.0,5.5,5.0,6.0,4.5,5.5,5.0,5.5,4.5,6.0,5.0,4.5,4.0,4.0,4.0,6.0,6.0,7.0,5.0,5.5,5.5,5.0,6.5,5.0,6.0,6.0,7.0,5.0,4.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10
480,1192,Carrasco Yannick,A,15.0,18.0,5.34,5.73,5.43,28,13,37,0.83,0.7,0.89,3,2,6,0.68,0.69,0.7,1744,880,2428,62.29,67.69,65.62,581.0,405.0,6.5,5.0,6.0,0.0,0.0,0.0,2.0,5.0,21.0,0.8134,1124.0,12.0,14.0,45.6,19.0,0.0,0.0,5.25,5.75,5.9,5.0,6.5,6.5,5.0,7.0,5.5,6.5,5.5,6.0,5.5,5.5,5.0,5.0,0.0,5.0,5.0,5.0,5.5,4.5,4.5,5.5,0.0,4.5,4.5,4.5,7.5,5.0,5.0,4.0,5.0,6.0,6.0,5.0,7.0,4.0,5.0,7.5,5.5,4,10
481,1195,Torres Óliver,MO,10.0,14.0,5.31,5.5,5.32,27,1,34,0.81,0.0,0.75,3,0,3,0.85,1.0,0.71,1822,90,2020,67.48,90.0,59.41,607.0,673.0,6.0,3.33,6.0,0.0,0.0,0.0,1.0,3.0,12.0,0.7942,1195.0,10.0,21.0,44.39,18.0,0.0,0.0,6.25,5.0,5.055555555555555,5.5,0.0,4.5,5.0,4.5,5.5,5.0,5.0,5.0,5.5,4.5,6.5,6.0,4.0,6.5,5.0,5.0,5.0,4.5,5.0,5.0,6.0,7.0,4.0,7.0,5.5,0.0,6.0,5.5,0.0,5.5,6.0,0.0,5.0,5.0,5.0,5.0,6.0,3,9
482,1197,Trejo Óscar,MO,14.0,15.0,5.27,5.11,5.22,28,18,34,1.0,1.08,0.91,3,2,3,0.86,0.78,0.79,1839,1082,2123,65.68,60.11,62.44,613.0,708.0,6.0,4.67,9.5,1.0,0.0,0.0,4.0,5.0,12.0,0.8241,1303.0,8.0,28.0,40.85,63.0,0.0,0.0,5.0,5.0,4.95,4.0,6.0,5.5,4.5,7.0,3.0,6.0,5.0,3.5,5.0,5.5,6.5,4.5,5.0,4.0,5.5,5.0,6.5,0.0,5.0,0.0,4.0,5.0,5.5,6.0,7.0,5.5,6.0,6.0,5.5,0.0,0.0,0.0,5.5,5.0,5.0,5.0,5.0,4,10
483,1199,Sadiq Umar,A,3.0,4.0,5.2,0.0,5.2,5,0,5,1.1,0.0,1.1,3,0,3,0.8,0.0,0.8,325,0,325,65.0,0.0,65.0,108.0,108.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7733,119.0,0.0,1.0,26.23,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
484,1200,Alex Berenguer,MO,10.0,14.0,5.19,4.75,5.22,29,16,37,1.0,0.52,1.0,3,0,5,0.72,0.56,0.7,1822,791,2338,62.83,49.44,63.19,607.0,468.0,6.5,3.33,6.0,0.0,0.0,1.0,1.0,6.0,24.0,0.7691,1093.0,8.0,29.0,41.16,37.0,0.0,0.0,5.5,5.0,4.9,4.0,5.0,6.0,5.0,4.5,5.0,5.0,5.5,4.5,4.5,4.5,4.5,5.0,4.5,4.0,4.5,0.0,5.5,6.0,3.0,5.0,5.0,6.0,5.5,6.5,7.0,5.5,8.0,6.5,5.0,5.0,7.0,4.5,5.0,4.5,0.0,4.5,5.0,4,10
485,1202,Álex Fernández,MO,10.0,13.0,5.17,5.17,5.22,26,3,34,0.77,0.29,0.8,3,0,3,0.62,0.0,0.65,1489,67,2031,57.27,22.33,59.74,496.0,677.0,6.5,3.33,7.5,1.0,0.0,0.0,0.0,1.0,3.0,0.8097,831.0,7.0,7.0,38.94,6.0,0.0,0.0,0.0,5.166666666666667,5.0625,5.0,5.5,5.0,0.0,5.0,0.0,5.0,4.5,5.5,5.0,4.0,7.5,5.0,5.0,4.5,5.0,4.0,5.5,6.5,4.5,5.0,6.5,5.5,5.0,6.0,4.5,5.0,5.0,0.0,0.0,4.5,5.0,4.5,7.0,6.0,5.5,6.0,4.5,3,8
486,1203,Oroz Aimar,MO,9.0,12.0,5.13,5.13,5.13,24,4,24,0.88,0.63,0.88,3,0,3,0.67,0.75,0.67,1449,290,1449,60.38,72.5,60.38,483.0,483.0,6.0,3.0,5.0,1.0,0.0,0.0,3.0,0.0,3.0,0.7416,822.0,17.0,8.0,42.72,30.0,0.0,0.0,5.5,5.125,5.0,5.0,6.0,5.0,4.5,0.0,4.5,5.0,5.5,4.5,0.0,0.0,0.0,4.5,7.0,5.0,4.0,4.0,5.5,7.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,6.5,4.0,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8
487,1205,Martín Iván,MO,9.0,15.0,5.06,5.08,5.06,17,6,17,0.75,0.49,0.75,3,0,3,0.65,0.83,0.65,1019,429,1019,59.94,71.5,59.94,340.0,340.0,5.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.8447,579.0,4.0,5.0,35.24,12.0,0.0,0.0,0.0,5.0,5.111111111111111,4.5,5.5,5.5,4.5,5.5,5.0,0.0,4.5,7.0,4.0,5.5,4.5,4.5,4.5,4.5,5.5,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9
488,1206,Puado Javier,A,10.0,13.0,5.05,5.05,4.97,29,29,38,0.65,0.65,0.64,3,3,3,0.66,0.66,0.74,1783,1783,2556,61.48,61.48,67.26,594.0,852.0,6.0,3.33,4.0,0.0,0.0,0.0,2.0,3.0,15.0,0.8062,691.0,9.0,6.0,38.61,10.0,0.0,0.0,5.5,5.125,5.05,5.0,5.0,5.0,5.5,4.5,4.5,5.5,5.0,4.5,6.0,5.0,4.5,5.0,7.0,6.0,4.0,5.5,4.5,4.0,6.0,4.5,5.0,5.0,5.0,5.0,5.5,5.0,5.0,4.5,0.0,4.5,4.5,4.5,4.5,4.0,4.5,5.0,6.0,4,10
489,1209,Ezzalzouli Abdessamad,A,9.0,17.0,4.96,5.28,4.96,23,9,23,1.02,1.25,1.02,3,3,3,0.65,0.78,0.65,1188,598,1188,51.65,66.44,51.65,396.0,396.0,6.0,3.0,2.5,0.0,0.0,1.0,2.0,1.0,18.0,0.7579,748.0,4.0,15.0,47.5,25.0,0.0,0.0,0.0,5.875,5.277777777777778,5.5,5.0,8.0,5.0,3.5,4.5,5.5,6.0,4.5,0.0,3.5,4.0,4.5,5.0,3.5,4.5,0.0,0.0,0.0,5.0,6.5,4.5,5.0,4.5,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9
490,1211,Oyarzabal Mikel,MO,8.0,15.0,4.81,4.81,4.81,16,16,16,0.79,0.79,0.79,3,3,3,0.56,0.56,0.56,807,807,807,50.44,50.44,50.44,269.0,269.0,5.5,2.67,2.5,1.0,0.0,0.0,1.0,2.0,5.0,0.7418,370.0,0.0,4.0,35.11,5.0,0.0,0.0,0.0,4.875,4.95,4.5,4.0,6.5,4.5,4.0,4.0,5.0,5.0,6.0,6.0,4.5,4.5,4.0,5.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10
491,1212,Jackson Nicolas,A,7.0,7.0,4.81,4.75,4.8,18,2,22,0.97,0.35,0.88,3,0,3,0.44,0.0,0.36,922,100,1023,51.22,50.0,46.5,307.0,341.0,3.5,2.33,3.5,0.0,0.0,0.0,2.0,4.0,11.0,0.7589,350.0,2.0,7.0,35.29,24.0,0.0,0.0,0.0,4.333333333333333,4.375,4.5,5.0,0.0,3.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.0,4.0,6.5,4.0,6.0,4.0,5.0,4.5,4.0,6.0,4.5,5.0,7.0,4.5,4.5,5.0,5.0,0.0,0.0,0.0,0.0,3,4
492,1214,Boyé Lucas,A,11.0,14.0,4.56,4.17,4.5,27,3,29,1.02,0.76,1.03,3,0,3,0.85,1.0,0.86,1956,257,2032,72.44,85.67,70.07,652.0,677.0,6.0,3.67,1.0,0.0,0.0,1.0,2.0,5.0,15.0,0.7757,1067.0,11.0,14.0,39.31,53.0,0.0,0.0,4.0,4.166666666666667,4.833333333333333,4.0,5.0,3.5,0.0,4.0,5.5,6.5,6.0,5.0,4.0,6.0,5.0,4.0,4.5,4.0,5.0,3.5,4.5,3.5,5.5,3.0,0.0,2.5,6.0,4.0,6.0,4.0,4.0,4.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3,9
493,1215,Ramazani Largie,A,7.0,0.0,4.56,0.0,4.56,26,0,26,0.86,0.0,0.86,3,0,3,0.46,0.0,0.46,1247,0,1247,47.96,0.0,47.96,416.0,416.0,6.0,2.33,1.5,0.0,0.0,0.0,0.0,1.0,8.0,0.6502,482.0,10.0,7.0,35.44,26.0,0.0,0.0,4.5,4.5,4.5625,0.0,4.5,5.0,4.0,0.0,4.0,4.0,4.5,6.0,4.5,0.0,0.0,3.0,4.5,4.0,5.5,4.5,4.0,5.0,4.5,4.0,5.0,4.0,4.0,3.5,3.5,4.5,6.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8
494,1216,Ponce Ezequiel,A,9.0,11.0,4.52,0.0,4.44,28,0,36,1.03,0.0,1.03,3,0,3,0.29,0.0,0.31,1042,0,1494,37.21,0.0,41.5,347.0,498.0,6.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.7239,444.0,1.0,6.0,34.13,29.0,0.0,0.0,4.25,3.6666666666666665,4.0,0.0,2.0,4.5,4.5,4.0,4.0,5.0,4.5,4.0,3.5,7.5,4.5,4.5,6.5,4.5,4.0,4.5,4.5,4.5,0.0,4.0,4.0,6.0,4.0,4.0,6.0,3.5,4.0,5.0,5.0,4.5,4.0,0.0,2.0,4.5,5.0,5.0,3.5,3,9
