,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value
760,1928,Pellegri Pietro,A,1.0,1.0,4.54,0.0,4.58,13,0,20,0.48,0.0,0.54,1,0,2,0.31,0.0,0.25,401,0,581,30.85,0.0,29.05,401.0,291.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.6102,150.0,0.0,1.0,31.82,10.0,0.0,0.0,4.25,4.5,4.5,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,6.0,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.5,4.0,0.0,4.5,4.0,4.5,4.5,0.0,6.0,5.0,2,2,6.040618073571661,5.040618073571661
761,1930,Gytkjær Christian,A,9.0,0.0,4.39,0.0,4.39,19,0,19,0.49,0.0,0.49,1,0,1,0.16,0.0,0.16,503,0,503,26.47,0.0,26.47,503.0,503.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5942,161.0,0.0,2.0,37.5,9.0,0.0,0.0,5.0,4.0,4.2,0.0,0.0,0.0,4.0,4.5,0.0,4.5,4.0,4.0,0.0,0.0,0.0,4.5,4.0,4.5,0.0,0.0,4.5,0.0,4.0,4.0,4.5,5.0,4.0,6.0,0.0,4.5,0.0,4.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,6.753576867302028,-2.246423132697972
762,1931,Destro Mattia,A,1.0,3.0,4.38,4.75,4.33,12,2,18,0.86,0.35,0.73,1,0,1,0.5,0.0,0.5,480,21,797,40.0,10.5,44.28,480.0,797.0,6.0,1.0,2.5,0.0,0.0,0.0,0.0,1.0,1.0,0.6133,134.0,1.0,1.0,28.57,10.0,0.0,0.0,4.5,4.75,4.75,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0,3.0,4.5,6.0,4.5,0.0,0.0,0.0,4.5,4.5,5.0,3.5,0.0,4.5,4.0,4.0,5.0,4.0,0.0,2,2,6.241849194268751,5.241849194268751
763,1932,Shomurodov Eldor,A,8.0,8.0,4.31,0.0,4.54,16,0,23,0.54,0.0,0.69,1,0,2,0.38,0.0,0.3,586,0,750,36.63,0.0,32.61,586.0,375.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7199,276.0,3.0,3.0,36.26,7.0,0.0,0.0,0.0,5.0,4.555555555555555,0.0,4.5,4.5,6.0,4.5,4.5,4.5,4.0,4.0,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.5,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,6.5,4.5,4.5,5.5,0.0,5.0,3,9,8.268183297097874,0.2681832970978739
764,1952,Hjulmand Morten,MO,17.0,23.0,5.5,5.39,5.5,29,14,29,1.06,1.0,1.06,0,0,0,1.0,1.0,1.0,2489,1224,2489,85.83,87.43,85.83,0.0,0.0,0.0,1000.0,5.0,0.0,0.0,0.0,4.0,3.0,2.0,0.7876,1453.0,65.0,43.0,57.14,54.0,0.0,0.0,5.5,5.0,5.1,4.5,5.5,5.5,4.5,4.5,4.5,5.0,5.0,7.0,5.0,7.5,6.5,4.5,6.0,0.0,5.5,7.5,7.5,5.5,4.5,5.0,0.0,3.5,5.0,6.5,5.0,4.5,7.0,5.5,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,15.350872782699726,-1.6491272173002738
765,1964,Brekalo Josip,A,7.0,0.0,5.38,0.0,5.27,4,0,13,0.48,0.0,1.07,0,0,1,0.0,0.0,0.46,112,0,709,28.0,0.0,54.54,0.0,709.0,7.5,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.76,80.0,0.0,1.0,38.89,1.0,0.0,0.0,0.0,5.5,5.333333333333333,0.0,5.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.5,5.0,6.5,5.0,5.5,5.5,2,3,7.384645521248264,0.384645521248264
766,1985,Duda Ondrej,MO,10.0,10.0,5.21,5.21,5.21,12,12,12,0.45,0.45,0.45,0,0,0,0.83,0.83,0.83,935,935,935,77.92,77.92,77.92,0.0,0.0,0.0,1000.0,1.5,0.0,0.0,0.0,0.0,1.0,3.0,0.7613,554.0,12.0,13.0,56.45,16.0,0.0,0.0,0.0,5.25,5.25,5.0,5.5,5.0,5.5,5.0,5.5,5.5,4.5,5.0,6.0,5.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,10.452189950800875,0.4521899508008751
767,1989,Lopez Maxime,MO,14.0,16.0,5.19,5.15,5.23,24,10,31,1.06,1.03,1.06,0,0,1,0.83,0.8,0.84,1851,734,2374,77.13,73.4,76.58,0.0,2374.0,4.5,1000.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,0.8779,1489.0,21.0,16.0,40.0,27.0,0.0,0.0,5.5,5.0,5.15,3.0,6.0,6.0,5.0,5.5,5.5,6.5,5.0,4.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,5.5,3.0,5.0,5.0,4.5,7.5,6.0,4.0,5.5,5.0,6.0,6.0,0.0,3.5,5.0,6.0,4.5,6.0,5.5,7.0,4,10,12.589996584061344,-1.4100034159386556
768,1993,Bohinen Emil,MO,8.0,0.0,5.18,5.21,5.33,17,7,26,0.43,0.49,0.51,0,0,0,0.35,0.29,0.54,568,236,1240,33.41,33.71,47.69,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808,435.0,14.0,11.0,52.11,9.0,0.0,0.0,0.0,5.0,5.214285714285714,5.5,5.0,4.5,5.0,5.0,6.0,5.5,0.0,0.0,0.0,5.5,5.5,0.0,0.0,5.5,5.5,5.5,5.0,4.5,5.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.5,6.5,6.0,6.0,5.0,4,7,10.312214795378534,2.3122147953785337
769,1996,Sottil Riccardo,A,5.0,5.0,5.15,4.8,4.94,13,5,17,0.85,0.27,0.85,0,0,0,0.46,0.2,0.41,595,161,710,45.77,32.2,41.76,0.0,0.0,0.0,1000.0,1.5,0.0,0.0,0.0,2.0,1.0,10.0,0.827,312.0,0.0,1.0,50.0,4.0,0.0,0.0,0.0,4.75,4.75,5.0,4.5,5.0,4.5,5.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,5.0,6.0,4.5,7.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4,6,8.831722968493422,3.8317229684934215
770,2011,Verre Valerio,MO,5.0,0.0,5.08,0.0,5.05,18,0,22,0.46,0.0,0.46,0,0,0,0.33,0.0,0.41,670,0,892,37.22,0.0,40.55,0.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.769,535.0,8.0,6.0,44.34,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,5.5,6.0,5.5,5.0,0.0,4.5,5.5,5.5,5.0,5.0,5.0,5.0,4.0,5.0,5.5,5.0,5.0,0.0,5.5,0.0,4.5,5.0,4.5,0.0,0,0,2.509338086173151,-2.490661913826849
771,2017,Kovalenko Viktor,MO,8.0,0.0,5.07,5.0,4.93,15,1,23,0.37,0.0,0.43,0,0,0,0.4,0.0,0.39,476,1,739,31.73,1.0,32.13,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6588,277.0,3.0,7.0,51.92,8.0,0.0,0.0,5.0,5.0,5.3,5.0,0.0,0.0,5.0,0.0,6.0,5.5,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.5,5.0,5.0,5.0,5.5,5.0,0.0,4.5,5.5,5.0,4.5,4.5,4.5,5.0,2,5,8.02552682609322,0.025526826093219768
772,2018,Crnigoj Domen,MO,7.0,0.0,5.07,0.0,5.13,7,0,16,0.53,0.0,0.65,0,0,1,0.57,0.0,0.63,295,0,810,42.14,0.0,50.63,0.0,810.0,6.5,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7039,170.0,10.0,3.0,51.43,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.5,6.0,4.5,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,5.5,6.5,5.0,4.5,0,5,6.4236418862678635,-0.5763581137321365
773,2019,De Ketelaere Charles,MO,11.0,0.0,5.07,5.05,5.07,27,10,27,0.53,0.16,0.53,0,0,0,0.3,0.2,0.3,958,273,958,35.48,27.3,35.48,0.0,0.0,0.0,1000.0,3.0,0.0,0.0,0.0,1.0,4.0,7.0,0.795,507.0,3.0,10.0,45.88,17.0,0.0,0.0,4.5,5.0,5.05,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.0,5.0,5.0,0.0,4.0,5.0,0.0,4.5,4.5,0.0,4.5,5.0,5.0,5.0,0.0,5.0,5.5,5.0,6.0,5.0,5.0,7.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,9.247403073643959,-1.7525969263560413
